id,okus
114637,cherry
114637,bell
114637,pepper
114637,olive
114637,asparagus
114637,spice
114637,ginger
114637,oak
114637,vanilla
114637,black
114637,cherry
114637,plum
114637,smoke
114637,toast
114637,tar
114637,red
114637,fruit
114637,strawberry
114637,raspberry
119522,grass
119522,gooseberry
119522,grapefruit
119522,lime
119522,melon
119522,citrus
119522,mineral
119522,flint
119522,fig
119522,lemon
119522,pear
119522,saffron
119522,bell
119522,pepper
119522,orange
119522,floral
119522,peach
119522,honey
117310,black
117310,currant
117310,blackberry
117310,dust
117310,leather
117310,currant
117310,blueberry
117310,strawberry
117310,blackberry
117310,violet
117310,oak
117310,smoke
117310,toast
117310,vanilla
107639,ripe
107639,cherry
107639,plum
107639,strawberry
107639,raspberry
107639,mushroom
115215,currant
115215,blackberry
115215,cherry
115215,bell
115215,pepper
115215,olive
115215,asparagus
115215,spice
115215,ginger
115215,oak
115215,vanilla
115215,tobacco
115215,raspberry
115215,cassis
115215,violet
115215,pepper
115215,green
115215,bean
120327,honey
120327,orange
120327,mango
120327,kiwi
120327,tangerine
117284,currant
117284,black
117284,cherry
117284,plum
117284,bell
117284,pepper
117284,olive
117284,oak
117284,smoke
117284,toast
117284,tar
117284,tobacco
117284,raspberry
117284,cassis
117284,violet
117284,pepper
